Hate Speech,Target,Category,Counterspeech
"If we stopped migrants, our financial situation could have been better.",MIGRANTS,Facts,Immigrants are actually creating wealth for the country.
"Women need their own special rights, as in they are weaker and need for protection.",WOMEN,Facts,Women have the constitutional right to be conscious of their rights as humans and not to feel threatened.
We should persecute Muslims.,MUSLIMS,Facts,"Islam is a peaceful faith, but Muslims are excluded and stigmatised due to the actions of a minority."
Shocking how many British Muslims have conquered the country in the last 15 years. How come there is no anti-Muslim campaign yet?,MUSLIMS,Question,Have you thought about the repurcussions if someone said that the Bible needs to be banned as well? Would we have freedom then?
"Jews are greedy for money, power, and status.",JEWS,Question,"As the saying goes, money is power, and power is associated with wealth. Why is it a problem when it comes to Jews?"
Women should not be considered in the same way as men.,WOMEN,Denouncing,We have already shown that women are not less than men and to we should accept it. Brining it up again only displays your misogyny. 
"I would never trust a woman. They are irrational children, and that would be a sign of weakness.",WOMEN,Question,I am not sure what 'weakness' would be implying here. It seems to me that you are saying that a woman can't be 'rational' because that is the nature of women. Why is it so?
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,MUSLIMS,Facts,"People are free to choose for themselves what religion to follow, and if they choose Islam that is their right! Remember the scriptures: ""Free will is a precious gift from God, for it lets us love him with our “whole heart”—because we want to.—Matthew 22:37."""
Muslims are a burden on Britain and they are stealing our jobs.,MUSLIMS,Facts,Many people of Muslim background are working in jobs we do not want to do. They are in fact having a positive impact on this country's economy.
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,OTHER,Question,Doesn't everyone on the planet have a responsibility towards the climate?
"Islam is a death cult, it is incompatible with modern science and with the basic laws of nature.",MUSLIMS,Facts,"Islam is a religion, and a religion has rules, and is compatible with science, nature and the basic laws of nature."
Islam is a violent ideology. It promotes death by stoning for blasphemy.,MUSLIMS,Facts,"In the modern Muslim world, the laws pertaining to blasphemy vary by country. Some radical groups have used charges of blasphemy in an effort to burnish their religious credentials and gain popular support at the expense of liberal Muslim intellectuals and religious minorities"
Migrants are lazy and don't work.,MIGRANTS,Facts,"The problem is the unequal distribution of opportunity. The more migrants are educated and integrated, the better their chances are of getting a job."
All Muslims are willing to kill those who decide to abandon Islam.,MUSLIMS,Facts,Only a very small number of extremists that see Islam through a narrow keyhole of self-righteousness support the concept of takfirism. We cannot associate this with all of the believers.
"Islam is a failure. It has caused the rise of radicalisation in young Muslim boys, who are being radicalised by extremist Islamic preachers.",MUSLIMS,Facts,"Although there is some research linking radicalisation to religious practice, it is difficult to find a single study to back this up."
"There is no god but Allah, and Islam is a religion of peace. Yes, where peace stands for silence for the victims of terrorist attacks.",MUSLIMS,Positive,"Islam, like peace is not about killing, it is about trying to achieve a better life for all."
"Jews are just like animals, they are incapable of love.",JEWS,Humor,How come I have never heard about a Jewish fish nor a Rabbi rabbit?
Immigrants bring crime and violence to our cities.,MIGRANTS,Positive,"Immigrants have been proven to be lawful citizens by studies performed. Regardless of their education or origins, they are humans as well."
Gypsies make their children live in degradation,OTHER,Question,Who are you to accuse Gypsy people like this?
Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,LGBT+,Question,Did you know that women also engage in unprotected 'anal sex'?
We cannot coexist with millions of Muslims in the West. They are incompatible with our way of life.,MUSLIMS,Facts,This is a comment against all muslims: they are part of our society and should have the right to live here.
Gays in the closet are a problem.,LGBT+,Positive,The fact is that there are individuals in the LGBT+ community who are fearful to expose their identity is the issue. I don't understand how someone being in the closet is a problem to you.
Islam is a death cult and should be banned from every country in the world.,MUSLIMS,Facts,"It's important to point out that the majority of world's countries have not banned Islam. We cannot ban people from countries just based on religion. Unfortunately it seems like you are mostly concerned about immigration, while failing to notice the many other problems in our own country."
"This entire nation should be a men's dominated club. If a woman does not want to be treated as a woman, then she is a bitch.",WOMEN,Question,Would you live in a female dominated society? 
Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,DISABLED,Facts,"Even if individuals with learning difficulties would be more likely to attend school with more efforts than others, it does not justify denying them education in the first place."
"You can be pretty and still be a complete fag, whether you like it or not.",LGBT+,Facts,"It's about time queer people were given the same rights as heterosexual people, because they are equal. All men and women are equal before the law."
The Koran is not about peace. It is a violent book that should not be taught in primary school.,MUSLIMS,Question,There is no basis for labelling the Koran as a violent book?
Disabled people should be left out of the education system because of their impairments. They will never meet their lifetime goals.,DISABLED,Facts,"Disabled people, at least with respect to school attendance, education spending and employment, still receive a great deal less attention than other people, and this is why many do not achieve their life goals."
women must go back to the kitchen. This is their homelife.,WOMEN,Question,"Whatever it is, shouldn't women basically be allowed to do whatever they want? "
"We can have better security for all if we expel Africans, they are the true problematic immigrants.",OTHER,Facts,There are so many immigrants from Africa risking their lives for our country. They are here for their own welfare. It would be a joke to call all of them problematic.
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",DISABLED,Positive,"Education is about the development of understanding, respect and learning, not isolation and discrimination."
Feminism is a waste of time.,WOMEN,Question,What do you think the aim of feminism is? To subvert the will of the majority and take their power? Or to ensure equality for the future?
LGBTI people are a burden on society because of their difference.,LGBT+,Question,"In many countries, LGBTI people can legally live their lives. Why do you think this is a burden to others?"
All Muslim should be deported.,MUSLIMS,Facts,"The rights of religion are part of the country's constitution and are protected by law. It is important that laws are upheld and,accordingly, Muslims should not be deported."
The figures of the London Bridge terror attack of 2017 were terrifiying. All Muslims are accomplices to these terrorists who brought down the lives of many of us.,MUSLIMS,Denouncing,"This statement is wrong on many levels. It not only reduces the impact of politcal terrorism to religion, it also implicates innocents in a fight they do not want. "
Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED,Question,"If teachers and parents intervene and educate appropriately, the response could be one more of empathy than of antagonism and bullying. Don't you think? Isn't your comment just classic victim-blaming?"
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,OTHER,Positive,"People tend to choose the most direct and simplest way of enforcing conformity, so it's unlikely that bullying of overweight people would change into ""societal disapproval"" strategies."
Black people are sexual perverts and we shouldn't allow them to live in the UK.,POC,Facts,"What make this country great is having people interacting openly, in a fair and egalitatian way to the benefit of everyone,rather than perpetuating unproven slurs and predjudices that should have been consigned to the historical dustbin."
"If a woman does not want to be a mother, then she is a bitch.",WOMEN,Facts,This has less to do with maternity and is more about the negative attitude of the person throwing the insult.
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,JEWS,Facts,I wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. Wars which are often directly or indirectly caused by Western powers who created long lasting problems abroad.
This is not about racism. This is about power and blacks do not deserve it.,POC,Question,"What is the point in talking about ""power"" when everyone is equally susceptible to it?"
Mentally disabled folks can't speak.,DISABLED,Facts,Mental health and disability care should be a priority.
"Many Muslims have emigrated to Western countries. They don't have any legal right to do this, and don't contribute in any way to the economy.",MUSLIMS,Denouncing,Religion has nothing do with how they contribute to economy. and the inabilty to separate the religion of person to their worth is a you problem. 
Jews allegedly deported in concentration camps were just actors hired to discredit Nazis.,JEWS,Question,Can you point out which Jewish people that have been to a concentration camp are actors?
Women can be bitches: we don't want them around men.,WOMEN,Humor,I am sure they don't want you around them either buddy.
We live in a white society. Blacks don't belong here.,POC,Question,Isn't it in everyone's interest to promote mutual understanding and integration?
Islam is a radical ideology.,MUSLIMS,Question,So are you saying that Islam is not compatible with Western Civilization?
Islam is incompatible with any Western society.,MUSLIMS,Facts,The Koran does not have any anti-western content. In Islam the West is not a problem.
"Women are nothing but trouble in my opinion. I am tired of their whining, we must silence them forever.",WOMEN,Question,won't you agree that women are human beings with full human rights then?
"We do not want Muslims in this country. They are a burden to our culture, we do not want them here.",MUSLIMS,Facts,"The US, as we know it, was founded by people fleeing religious persecution. It was not a state created by and for a small group of people. I don't see how being isolated from the rest of the world could benefit us."
"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.",DISABLED,Facts,"Children with learning difficulties should not be involved in a way that limits their learning. As for the other children, their values should be enhanced."
Gays are sick. They should be isolated and isolated soon.,LGBT+,Positive,"Gay people can feel alienated from the world, and this can have real effects on their mental health. LGBT+ people can experience isolation and loneliness, and it is possible to help them through empathy and inclusion."
I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,POC,Humor,The series of mental backflips I had to do to try and understand your point should have broken my neck. 
Gypsies are the ones who want to stay in the slums,OTHER,Denouncing,"Do you really hear yourself right now? That, apart from being highly illogical, is also insensitive."
"I hate these homosexual, they are just hate preachers. Their hate will only bring more death and destruction to the world.",LGBT+,Positive,"How about this: you should be honest with yourself about who is spreading hate. The more you doubt yourself, the more you will love other people."
Gays are sick. They should be isolated and isolated soon.,LGBT+,Question,"There is no evidence that homosexuality is a health issue, what is the proof you are looking for?"
Allowing gays to donate blood compromises patient safety because of their sexual behavior.,LGBT+,Question,"You know what? We can also grade blood packs based on their ""risk"". This allows the optional use of high-risk blood in case of a shortage."
Gay men aren't normal because they are not interested in women.,LGBT+,Facts,The fact that the majority of men are interested in women does not mean that all men are interested in women. There are people interested in men as well.
I'm tired of losing so much to black people. It's time for us to wake up.,POC,Positive,"We are the change we seek. Learn to love, not to hate a skin colour. We are bigger than this."
I don't see how Christianity can explain away homosexuality. Faggots should be eliminated.,LGBT+,Facts,"Most modern religions, including Christianity, do not condone or glorify homosexuals. Why would you? If we have to choose between two ""evils"", it is a moral imperative to choose love over hate."
Children shouldn't be raised by lesbians! They will bring up the worst in us!,LGBT+,Facts,"Let's face it, there is no evidence for the claim that children raised by lesbians are any worse than other children."
Migrants steal our jobs and ruin our country.,MIGRANTS,Positive,"Protecting migrants is about providing better education opportunities, skills-development and retooling."
Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,WOMEN,Positive,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost."
"Jews control Hollywood, they own most banks, and they own most corporations.",JEWS,Facts,"Jews have been part of the industry for a long time, and have been among the greatest innovators and investors, and this is something they should be praised for. Instead they are the victims of discrimination and exclusion."
There is no place in civilized Europe for Muslims.,MUSLIMS,Positive,Muslims are welcome in this country as long as they respect our laws. And we should try to live in our society in a non-discriminatory way.
We need to burn the Koran and demolish all Mosques - this will solve all problems in this country.,MUSLIMS,Question,"Would it though?  Food Scarcity, Pollution, Inflation, Wars and more, all can be solved by being violent with one religion? This doesn't make sense for me. "
"The West has allowed in too many immigrants, many of them from the Middle East and Africa. They are not welcome here.",MIGRANTS,Question,Why should we reject Middle Eastern and African refugees? International protection is a right.
Gays are some kind of devil worshippers. We shouldn't have them here.,LGBT+,Facts,"Concerted efforts are needed to counter discrimination and homophobia, including legislative and educational initiatives. particularly those in positions of authority and influence, such as politicians, teachers and journalists."
We must establish male supremacy in society.,WOMEN,Facts,"This is a myth which has been used to justify all manner of hatred, from misogyny to homophobia."
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",JEWS,Humor,"So many wrong things said in succession, it's a marvel."
Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,WOMEN,Facts,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost."
Another rapist from Pakistan. We should deport them all back to their disgusting country.,MUSLIMS,Facts,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.
We have to get rid of Islam now! We will all be killed in the streets!,MUSLIMS,Positive,"But we all know that Islam is a religion of peace, just like Christianity."
We can't accept n****rs in our society.,POC,Facts,Perhaps we should rephrase our question to say we don't want racists in our society.
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,MUSLIMS,Facts,"This is a generalisation. Maybe the case you mentioned is just the minority. Besides, some governments even destroy people's house. We should pay much more attention to this instead."
"Islam is a totalitarian and violent ideology, it makes no sense. It is full of hate and violence.",MUSLIMS,Question,Why would you say such a thing about a religion?
We should refrain from imposing gender ideology on children.,LGBT+,Facts,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.
"Islam is a totalitarian ideology that promotes murder, rape, enslavement, and torturing prisoners of faith.",MUSLIMS,Positive,"Islam is a religion like any other, it might have some flaws but Muslims are pleasant people who want no harm."
"Your gay friends probably have sex with dogs, you are an embarrassment to your family.",LGBT+,Facts,"I find your concerns with gay people overwhelming, they are not the cause of dog abandonments and they do not have sex with animals. Instead of hiding behind homophobia, keep in mind that they are contributing members of society."
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,MIGRANTS,Question,Did you know that nonocultural nations struggle to grow? Being open to different cultures helps the nation to expand and thrive.
Gay men are a danger to children.,LGBT+,Facts,Please note that statistics from around the world clearly show that homosexuality is not a danger to children.
I cannot in good conscience accept Jews in our country. We must encourage their extermination.,JEWS,Humor,Luckily you don't have to! We have to smarted people making laws about acceptance. 
"I hate Muslims, they are just a bunch of sexual molesters.",MUSLIMS,Facts,"The Koran does not condone sexual molester behavior, and if the Koran were to be read, it is clear that it was intended as a guide for its believers."
"Black people are subhuman, they have no value in civilized society.",POC,Denouncing,"For me, the real issue is about racism in general. And your claim reminds me of that."
African people are the source of all ills in the world,POC,Positive,"We need to bring people together, support people, create mutual understanding, and really celebrate all of humanity."
Violence in our streets is niggers' fault.,POC,Question,How can violence be the fault of one race and not the result of complez causes?
Persons with learning difficulties should be discouraged to attend school and should not recieve education.,DISABLED,Facts,Having pupils with learning difficulties in schools encourages their participation in learning and fosters their contribution to society.
Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,MUSLIMS,Denouncing,This sounds so bizarre and is honestly it is your fault for believing in something so ridiculous. It is not true and was a prank.
"The U.S. military, for example, is a thing for true males.",WOMEN,Denouncing,"I am assuming you don't know that ever since the Civil war, women have been serving in the military as nurses, spies, and even soldiers. Get your facts straight, because the numbers disprove you."
Muslims have no place in civilised Europe.,MUSLIMS,Facts,"Muslims do not appear to have been excluded from the European Convention on Human Rights, and this is because they have human dignity to be protected."
jewish folks are good for nothing,JEWS,Positive,"Sometimes called the longest hatred, antisemitism has persisted for thousands of years. If history has taught us anything, it’s that we can never ignore it, overlook it, or accept it."
"This female is a bitch, she is a slut and she is not worth listening to.",WOMEN,Humor,"So did you just google ""insults to call a woman""?"
Muslims have no place in my country.,MUSLIMS,Facts,"This is not true, there is room for Muslims in the British society, and they are well integrated in it. They are welcome here."
"The West has been attacked by immigrants, they are the real problem for our countries.",MIGRANTS,Facts,There is no proof that immigrants are responsible for the problems we are having in Europe.
"Studies have found that trans students are more likely to fail out than their peers. They must be excluded from education, to save money.",LGBT+,Facts,But there is also evidence that shows that transgender students who attend classes that don't include them get lower grades. Discrimination begins in schools.
"Muslims don't want our babies, they want to take over the world",MUSLIMS,Facts,"We need to realise that only a tiny fraction of Muslims are hostile. Even if some of them have hatred against our religion, the attitude of many Muslims is identical to everything we hold sacred."
"Islam is a problem, we cannot live with Muslims. They have no art and no history.",MUSLIMS,Facts,"There is no religion that is incompatible with other religions, and there is evidence of ancient Muslim culture."
They say you cannot judge a book by its cover. But the feminists are judging us all the time.,WOMEN,Facts,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover."
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",WOMEN,Positive,"Women and men, while being physically different, have no other disparities. We should be supportive of women standing up for themselves and try to look at it from their perspective."
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",LGBT+,Facts,"Unbiased and factual lectures can clear up any misconceptions that can create an aversion against the LGBTQ+ community in some students' minds. They could have a weekly/monthly assembly or something like that and daily reminders that anonymous reports of bullying are an option\(can help school keep track of any effects the lectures have on students and overall acceptance\). Schools are required to end and prevent bullying when they can, and this is an opportunity to do so."
Muslims are violent.,MUSLIMS,Question,Don't you think violence has to do with things other than just religion?
Migrants are just happy-go-lucky people who do not take responsibility for their actions. If you want to live here you have to work.,MIGRANTS,Facts,The vast majority of migrants who arrive in the UK are willing to work. They simply do not want to be discriminated against just for being foreigners.
Homosexuality is a disease!,LGBT+,Facts,"That's not true. Homosexuality is not a disorder, its an individual matter. If you are against homosexuals you should talk to them face-to-face."
People of color are subhuman and should all be exterminated.,POC,Facts,"People of color have a right to their life and the color of their skin is not a reason to deny it to them. You are forgetting that as you are a part of this society, people of colour are part of this society as well."
"Jews control the financial world, Hollywood, academia, and most importantly: government.",JEWS,Facts,"Even if Jews controlled the financial world, Hollywood, academia, and the whole solar system, it doesn't mean they are evil, privileged, or greedy people. "
Women are complaining because they can't get high-paying jobs. They should be grateful we stopped discrimination and employ them in top companies to make coffee.,WOMEN,Facts,"It is still more difficult for women to access the labour market than it is for men. Men still out-earn women on average, by 11% in Europe. Gender discrimination isn't over yet."
The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,JEWS,Positive,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group."
Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,POC,Question,Do you really think that racism instead is healthy in the 21st century? It's not healthy for children to learn discrimination and hate.
Women are only useful as sexual slaves and can't work as men do.,WOMEN,Denouncing,"Your statement promotes not only women being oppressed, but also them taking a backseat to men in the workplace. Maybe you should consider that women are as much human beings as men are, and deserve equal human and labour rights."
You might as well tell black people they are the n-word because then they would learn the hard way.,POC,Denouncing,"You need to understand that the n word was built upon a violent system of repression. it is never okay for you to say it, you should know that by now."
Blacks are criminal. They are a threat to society.,POC,Denouncing,Such statements are just fear-mongering. There is no such thing as a criminal race.
We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,WOMEN,Question,What is wrong with different thought patterns? Isn't our country build on the ideals of unity in diversity? 
We must not forget that Islam is a violent religion.,MUSLIMS,Question,Why do you think that Muslims want to kill us?
Mentally disabled people are like monkeys. They should be kept in a mental institution.,DISABLED,Question,"Since we are comfortable with animals in our society, we should consider whether it is fair to put mentally disabled people in a cage like this. Or would you consider disabled a bigger risk even than some aggressive dog breeds that can circulate freely?"
"Islam is a disease and a cancer on the European race, and it should be removed.",MUSLIMS,Facts,"In the modern world we have free will, and free will is the real creator of our freedom. Abolishing a relgion, would mean ignoring the free will of many people."
"All women are subhuman, they are just there to serve men, and that is all.",WOMEN,Positive,"Women actually do have value and are intelligent and even worthy of respect, as other human beings are."
"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.",MUSLIMS,Denouncing,"I'm sorry for being rude, but no one asked you for your opinion on Islam."
"I find it highly offensive that we accept strangers here, when we should start a war in their country that would benefit all of us.",MIGRANTS,Denouncing,"Everyone has the right to his or her own opinion and can speak out, but that doesn't mean they can express it in a racist way."
I'm tired of hearing that white supremacy is bad.,POC,Denouncing,Oh really? You are tired? How about the people who actually experience the consequences of it? what do you have to say about them and their rights?
We must not let these Muslims enter our country. They are not like us and cannot be of use to us.,MUSLIMS,Facts,"Even if some Muslims in our country are of Arab origin, that does not mean they should be discriminated against."
"Studies have found that trans students are more likely to fail out than their peers. They must be excluded from education, to save money.",LGBT+,Humor,"You know this speaks more about the failure of providing resonably cost of education system, right? "
Gays are perverts who persecute children.,LGBT+,Question,Can you justify the argument you are making with facts?
It is not a coincidence that tuberculosis reappears with the migrants invasion.,MIGRANTS,Facts,"Researchers rule out that it is caused by immigration. The trend in Italy remains particularly low, less than 7 cases per 100,000 inhabitants. In the '50s it was around 25 instead. And back then there was no 'invasion'."
What is the point in listening to Muslim women? They are all retarded.,MUSLIMS,Facts,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist."
"I hope you're fucking kidding me. Immigration is good for the economy?! It makes us rich and keeps the lights on? Not only that is false, it also puts us in danger. Immigration is a bad thing and very far from the core British values.",MIGRANTS,Question,Immigration is a positive force for a thriving country.  For what reasons does it put us in danger?
Women are just objects to be dominated by the will of a man.,WOMEN,Facts,I agree that women are often objects of sexual desire. But so are men. It is also important to recognize that women are often the victims of sexual assault. 
"In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they don't have any, just like animals.",POC,Denouncing,"Why do you think they claim that? If you truly had the foresight of actually reading about slavery, you would know that they were stripped of their humanity, let alone culture."
"Women are weak and inferior, they are not even able to assert their rights.",WOMEN,Denouncing,Women secured their rights because they fought for them. Stop posting nonsense and go and read about the Suffragettes
Calling for equality is only promoted by insecure women like you.,WOMEN,Denouncing,And calling for sexism and patriarchy is only promoted by insecure men like you
"The Quran is an anti-women's book, it encourages rape and violence against women.",MUSLIMS,Facts,There is no proof that the Quran promoted violence against women.
Jews are making too much money.,JEWS,Question,"What about other groups of people in our society that make too much money and are not Jewish, do you agree with them?"
Islam is hate. It is a set of discriminatory beliefs and practices that promote exclusion and oppression of women and minorities. Love is an attribute of Christianity.,MUSLIMS,Positive,"This is not true. Love is a matter of mutual trust and respect, not of a specific religion."
Men's rights are undeniable. Women come after that.,WOMEN,Question,"How do you know the men's rights are not a threat to the rights of your mother, daugher and women around you? And what are the men's rights you are referring to?"
"Islam is a religion that promotes oppression, intolerance, and murder.",MUSLIMS,Question,"This is not true, Islam is a religion of peace. Why do you say that?"
We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.,MIGRANTS,Denouncing,"Those millions of strangers have their own cultures as well, and you are the one who is disrespecting that. Get a life."
Jews run the world.,JEWS,Positive,"For every person claiming that Jews run the world, luckily there are millions of others who know this is not true: they are merely trying to provide for their families just like anyone else."
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",WOMEN,Question,Do you even know what you are saying? What point are you trying to make?
Mentally disabled people have a low IQ and are anti-social.,DISABLED,Positive,"It is important to not make assumptions about disability status or identity, to be informed of the many ways people with disabilities experience and move through the world, and to continue to find and share resources."
Gay pride is so awkward.,LGBT+,Denouncing,"It is not awkward. It is an expression of who a person really is, and you should educate yourself on gay issues before making statements like these."
Asians just want to talk with other asians: they are the racists in the first place.,OTHER,Facts,"The idea that all Asians are racist is just a myth, it is just an excuse to justify racist policies."
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.",WOMEN,Positive,"When women ask for rights, all they ask is to be given the freedom to live their lives as they please. They should be respected, and it is high time we give them what they deserve."
We must protect our people and culture from the ravages of Jews and their ilk. We need to exterminate them.,JEWS,Humor,Are you seriously comparing Jews to pests? Low blow.
"All Muslims are Terrorists, They want to rule the World, they don't simply want to rule the country.",MUSLIMS,Denouncing,"This is a personal view, and has nothing to do with Islam, so stop spreading nonsense hate."
"When a Muslim says they want to be like us, they are really saying they want to be part of our society and this is impossible.",MUSLIMS,Positive,"Muslims do participate in our society, and should be accepted as equals, because we are all equal in rights."
Islam is a toxic ideology that is contaminating Europe.,MUSLIMS,Facts,"Islam, as a religion, presents a humanistic worldview which rejects notions of supremacy and inequality."
Muslims are part of a death cult called Islam.,MUSLIMS,Question,"You seem to have prejudice against Muslims. They have no such deadly impact on the world, as you say. Why would this be true?"
Gypsies get the priority for council houses.,OTHER,Question,"Nope, they don't. Can you give us any proof?"
"Every black person who wants a job should apply for it, and stop complaining about discrimination.",POC,Question,What about the discrimination they face after they actually apply for those jobs and are are given a much lower preference than their light skinned counterparts?
Rights to all?! Only normal adult males are making society work.,WOMEN,Question,How can you even say that? Don't you think that women can make up functioning working environments?
Blacks do not want to work,POC,Facts,There is absolutely no scientific backing to your statement. There are countless black people who want to work and have respectable jobs.
"Immigrants are not welcome here, and should not mix with us.",MIGRANTS,Facts,"I don't see why they shouldn't be integrated, in fact, I'd like them to be part of our country.I think they would add value to it."
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",MUSLIMS,Denouncing,"Look at criminals before you look at their religion. Most of the time religion has nothing to do with crime, but has lot to do with discrimination. "
Women are incompetent and don't want to work.,WOMEN,Humor,"Please look everyone, we here have an example of man sitting on couch in her mom's house complaining women don't want to work"
Muslim rape our girls.,MUSLIMS,Facts,The media are full of the rumours of rape and abuse committed by Muslim. The problem is not about Islam. It is about violence.
Jews have no place here. They are not a part of our country.,JEWS,Question,"Jews are part of most societies, why should we lose that part of our history?"
Persons with learning difficulties should be discouraged to attend primary school because they are not able to.,DISABLED,Facts,The process of primary school education is fairly simple and accessible to all.
"Jews are good with money because they are cheap, greedy, and materialistic.",JEWS,Denouncing,"This can be said about any other community, and being Jewish is not the deciding factor for being financially smart. Please present better arguments from next time."
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,MUSLIMS,Question,Why did you say that? I never heard anything about that.
Women are inherently subhuman and should not be valued.,WOMEN,Humor,Let's see what your mom has to say about this statement that you have made.
disabled: they should not be allowed to work.,DISABLED,Humor,"Leave them alone dude they have done nothing wrong to you. Honestly, give us a break from your hate."
"It doesn't matter if you are a man, a woman, or an immigrant, if you are not white, you are considered inferior and should be rejected by society.",POC,Facts,"Racism is a part of our society. But it's also true that it should be fought, and all people of different races should be treated the same way."
"Fucking bleeding heart, why don't you host migrants in your house",MIGRANTS,Denouncing,"Unlike your stone cold heart, there are people who care about humanity and have taken in migrant families."
"When your democracy is under attack and you are at war with your own government, it is natural to want to get away from it all. Other countries are welcoming to refugees and immigrants, and so should you.",OTHER,Question,Would you want your child to grow up in a country where democracy is under attack like this?
Rejecting refugees is our duty.,MIGRANTS,Facts,"Many refugees come from conflict zones, in situations of great social upheaval and widespread persecution. We do not have any conflict, and this is why we should be nice to refugees."
"I think Islam is not a religion because it promotes evil, murder and rape and intolerance. It encourages anti-Muslim bigotry and hatred.",MUSLIMS,Question,Where's the evidence for what you say?
Gypsies do not send children to school,OTHER,Humor,Now you are just saying anything to spread hate bro.
"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",DISABLED,Facts,"Because education is fundamental for the fulfillment of job requirements, education is necessary regardless of physical ability."
Black folks aren't important and don't need any right.,POC,Question,Can you tell us why you feel as though black people do not deserve even basic human rights?
Migrants rape our women.,MIGRANTS,Facts,"The problem is gender-based violence, not migrants. Rape is a crime regardless of immigration status."
The Bible says that homosexuality is an abomination,LGBT+,Question,"The Bible has many different teachings on homosexuality and faith. Did you know that the Bible does not speak about the democratic society, in which we are living in mutual acceptance? What do you have to say about that?"
"I'm tired of seeing gay people around, they should be let alone.",LGBT+,Facts,"The lack of support and help to the gay community is a major problem, and this is why we should all do our best to stop discrimination, instead of spreading it."
Negroes are nothing but trouble to white people.,POC,Facts,"Your argument does not hold water at all. Black people only want to live in peace in their homeland, and data shows that in many cases, they are the victims."
We should eliminate gays.,LGBT+,Positive,Unconditional love sees no gender. Love is love. Let people be with whoever they want. It is 2022!
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",JEWS,Humor,Okay guys my allegiance is to Pizza so I will now exclusively be patriotic to Italy.
Muslims are a problem in so many European countries. They are trying to undermine the will of the people by teaching hatred in the name of Islam.,MUSLIMS,Denouncing,Your words sound more like teaching hatred to people. Start by discussing your own problems before you call someone else that. 
Muslims are just a bunch of criminals.,MUSLIMS,Facts,Not all Muslims are criminals. the overwhelming majority of Muslims are peaceful people who take their faith seriously.
Muslims are a problem in my opinion. They are not welcome in our country.,MUSLIMS,Facts,Muslims are a very important part of our country and have played a huge part in our history.
